,event_accum_times,event_durs,event_names,event_types
0,2.217,2217.0,instructions_backstory0,instructions0
1,4.616,2399.0,instructions_backstory1,instructions1
2,6.724,2108.0,instructions_backstory2,instructions2
3,7.504,780.0,instructions_backstory3,instructions3
4,8.874,1370.0,instructions_backstory4,instructions4
5,9.928,1054.0,instructions_backstory5,instructions5
6,10.88,952.0,instructions_backstory6,instructions6
7,11.84,960.0,instructions_backstory7,instructions7
8,12.824,984.0,instructions_backstory8,instructions8
9,13.468,644.0,instructions_backstory9,instructions9
10,31.928,18460.0,instructions_backstory10,instructions10
11,59.83,27902.0,instructions_backstory11,instructions11
12,68.706,8876.0,instructions_backstory12,instructions12
13,70.813,2107.0,instructions_backstory13,instructions13
14,71.671,858.0,instructions_backstory14,instructions14
15,72.592,921.0,instructions_backstory15,instructions15
16,73.277,685.0,instructions_backstory16,instructions16
17,73.955,678.0,instructions_backstory17,instructions17
18,74.607,652.0,instructions_backstory18,instructions18
19,118.164,43.339,work_style_questions,survey-likert
20,241.171,122.0,self_describe_page,survey-text
21,365.11,122.929,sat_grades_entry,survey-text
22,371.409,6299.0,instruction_traits0,instructions0
23,372.844,1435.0,survey_DAS_A_instr0,instructions0
24,790.62,416.157,survey_DAS_A,survey-multi-choice
25,797.542,6922.0,survey_DAS_A_instr0,instructions0
26,1126.36,327.481,survey_self_worth,survey-multi-choice
27,1128.977,2617.0,survey_DAS_A_instr0,instructions0
28,1207.86,77.607,survey_pswq,survey-multi-choice
29,1216.874,8.012,consent_part1_2,consent
30,1222.844,4.967,consent_part1_2b,consent
31,1253.514,29.665,venmo,survey-text
