,event_accum_times,event_durs,event_names,event_types
0,1.137,1137.0,NaN0,instructions0
1,2.089,952.0,NaN1,instructions1
2,2.775,686.0,NaN2,instructions2
3,3.469,694.0,NaN3,instructions3
4,4.065,596.0,NaN4,instructions4
5,4.734,669.0,NaN5,instructions5
6,5.237,503.0,NaN6,instructions6
7,8.152,2915.0,NaN7,instructions7
8,10.172,2020.0,NaN8,instructions8
9,11.878,1706.0,NaN9,instructions9
10,12.807,929.0,NaN10,instructions10
11,13.701,894.0,NaN11,instructions11
12,14.599,898.0,NaN12,instructions12
13,15.487,888.0,NaN13,instructions13
14,16.304,817.0,NaN14,instructions14
15,17.283,979.0,NaN15,instructions15
16,17.859,576.0,NaN16,instructions16
17,18.421,562.0,NaN17,instructions17
18,19.898,1477.0,NaN18,instructions18
19,20.985,1087.0,NaN19,instructions19
20,21.544,-0.001,NaN,single-stim
21,23.604,1.054,choosing_resp,alt-choice-gagne
22,25.179,0.572,choosing_resp,alt-choice-gagne
23,26.587,0.405,choosing_resp,alt-choice-gagne
24,28.067,0.474,choosing_resp,alt-choice-gagne
25,29.499,0.426,choosing_resp,alt-choice-gagne
26,30.867,0.36,choosing_resp,alt-choice-gagne
27,32.459,0.584,choosing_resp,alt-choice-gagne
28,33.875,0.41,choosing_resp,alt-choice-gagne
29,35.323,0.444,choosing_resp,alt-choice-gagne
30,36.747,0.417,choosing_resp,alt-choice-gagne
31,38.162,0.411,choosing_resp,alt-choice-gagne
32,39.586,0.418,choosing_resp,alt-choice-gagne
33,41.002,0.411,choosing_resp,alt-choice-gagne
34,42.426,0.42,choosing_resp,alt-choice-gagne
35,43.874,0.441,choosing_resp,alt-choice-gagne
36,45.33,0.452,choosing_resp,alt-choice-gagne
37,46.858,0.523,choosing_resp,alt-choice-gagne
38,48.595,0.732,choosing_resp,alt-choice-gagne
39,50.266,0.669,choosing_resp,alt-choice-gagne
40,51.874,0.604,choosing_resp,alt-choice-gagne
41,53.29,0.413,choosing_resp,alt-choice-gagne
42,54.706,0.409,choosing_resp,alt-choice-gagne
43,63.598,7.885,choosing_resp,alt-choice-gagne
44,66.182,1.581,choosing_resp,alt-choice-gagne
45,68.022,0.838,choosing_resp,alt-choice-gagne
46,71.086,2.062,choosing_resp,alt-choice-gagne
47,72.316,1230.0,instruction_traits0,instructions0
48,80.215,6.683,NaN,survey-likert
49,81.753,1538.0,instruction_traits0,instructions0
50,82.679,926.0,survey_stai_state_instr0,instructions0
51,103.06,18.912,survey_stai_state,survey-multi-choice
52,104.251,1191.0,survey_stai_trait_instr0,instructions0
53,127.466,21.958,survey_stai_trait,survey-multi-choice
54,128.812,1346.0,survey_cesd_instr0,instructions0
55,155.437,25.365,survey_cesd,survey-multi-choice
56,156.594,1157.0,survey_masq_instr0,instructions0
57,223.223,65.291,survey_masq0,survey-multi-choice
58,275.591,51.244,survey_masq1,survey-multi-choice
59,280.117,3.52,venmo,survey-text
