,event_accum_times,event_durs,event_names,event_types
0,2.1,2100.0,NaN0,instructions0
1,4.595,2495.0,NaN1,instructions1
2,6.146,1551.0,NaN2,instructions2
3,7.825,1679.0,NaN3,instructions3
4,9.68,1855.0,NaN4,instructions4
5,11.448,1768.0,NaN5,instructions5
6,12.55,1102.0,NaN6,instructions6
7,18.304,5754.0,NaN7,instructions7
8,24.736,6432.0,NaN8,instructions8
9,28.235,3499.0,NaN9,instructions9
10,29.468,1233.0,NaN10,instructions10
11,32.227,2759.0,NaN11,instructions11
12,41.594,9367.0,NaN12,instructions12
13,52.061,10467.0,NaN13,instructions13
14,57.459,5398.0,NaN14,instructions14
15,69.66,12201.0,NaN15,instructions15
16,73.604,3944.0,NaN16,instructions16
17,81.525,7921.0,NaN17,instructions17
18,83.614,2089.0,NaN18,instructions18
19,84.842,1228.0,NaN17,instructions17
20,101.459,16617.0,NaN18,instructions18
21,103.867,2408.0,NaN19,instructions19
22,104.426,-0.001,NaN,single-stim
23,125.797,20.363,choosing_resp,alt-choice-gagne
24,144.388,17.584,choosing_resp,alt-choice-gagne
25,181.745,36.351,choosing_resp,alt-choice-gagne
26,198.252,15.503,choosing_resp,alt-choice-gagne
27,206.432,7.175,choosing_resp,alt-choice-gagne
28,215.02,7.583,choosing_resp,alt-choice-gagne
29,230.797,14.773,choosing_resp,alt-choice-gagne
30,246.325,14.519,choosing_resp,alt-choice-gagne
31,264.437,17.106,choosing_resp,alt-choice-gagne
32,271.286,5.842,choosing_resp,alt-choice-gagne
33,280.861,8.57,choosing_resp,alt-choice-gagne
34,287.762,5.894,choosing_resp,alt-choice-gagne
35,307.509,18.741,choosing_resp,alt-choice-gagne
36,318.537,10.024,choosing_resp,alt-choice-gagne
37,322.756,3.212,choosing_resp,alt-choice-gagne
38,341.682,17.918,choosing_resp,alt-choice-gagne
39,355.119,12.431,choosing_resp,alt-choice-gagne
40,361.058,4.93,choosing_resp,alt-choice-gagne
41,368.327,6.264,choosing_resp,alt-choice-gagne
42,382.545,13.211,choosing_resp,alt-choice-gagne
43,392.404,8.85,choosing_resp,alt-choice-gagne
44,413.382,19.971,choosing_resp,alt-choice-gagne
45,434.764,20.377,choosing_resp,alt-choice-gagne
46,441.362,5.592,choosing_resp,alt-choice-gagne
47,451.876,9.506,choosing_resp,alt-choice-gagne
48,457.887,5.006,choosing_resp,alt-choice-gagne
49,459.415,1528.0,instruction_traits0,instructions0
50,478.959,18.314,NaN,survey-likert
51,480.705,1746.0,instruction_traits0,instructions0
52,488.488,7783.0,survey_stai_state_instr0,instructions0
53,532.231,42.231,survey_stai_state,survey-multi-choice
54,534.335,2104.0,survey_stai_trait_instr0,instructions0
55,579.274,43.655,survey_stai_trait,survey-multi-choice
56,580.688,1414.0,survey_cesd_instr0,instructions0
57,621.349,39.367,survey_cesd,survey-multi-choice
58,623.04,1691.0,survey_masq_instr0,instructions0
59,708.524,84.06,survey_masq0,survey-multi-choice
60,794.489,84.762,survey_masq1,survey-multi-choice
61,799.432,3.932,venmo,survey-text
