bic,bic,bic,bic,bic,bic,bic,bic,bic,bic,bic,bic,bic
model_RW_update_w_report_difflr_nofbscaling,model_RW_update_w_report_samelr_fbscaling,model_RW_update_w_report_samelr_nofbscaling,model_RW_update_w_report_samelr_relfbscaling,model_bayes_wreport_asym_no_reported,model_bayes_wreport_basic,model_bayes_wreport_basic_no_reported,model_bayes_wreport_decay_50,model_bayes_wreport_decay_prior,model_bayes_wreport_no_decay,model_bayes_wreport_two_rates_no_decay,model_bayes_wreport_w_no_reported_decay_50,model_bayes_wreport_w_no_reported_decay_prior
-84.046,-81.889,-65.444,-84.795,-71.451,-65.682,-68.595,-80.885,-78.861,-81.891,-78.849,-68.406,-67.319
-82.592,-79.547,-84.358,-82.59,-78.758,-85.315,-81.769,-80.162,-80.04,-83.206,-80.163,-75.713,-75.713
-59.966,-56.886,-61.494,-59.93,-61.173,-62.069,-64.046,-57.418,-58.475,-60.462,-57.417,-58.129,-58.117
-58.918,-57.667,-25.337,-60.711,-46.526,-24.873,-22.465,-56.255,-49.538,-52.582,-49.707,-43.481,-43.481
-88.895,-85.913,-90.598,-88.891,-64.968,-89.68,-62.334,-89.171,-88.412,-89.507,-86.471,-61.924,-61.924
-91.158,-82.103,-35.336,-85.15,-56.053,-34.927,-36.858,-90.353,-89.689,-92.734,-89.707,-53.008,-53.008
-75.058,-72.923,-65.064,-75.664,-66.952,-64.532,-67.48,-76.002,-69.094,-72.009,-68.966,-63.907,-63.689
-73.446,-70.365,-76.447,-73.411,-71.909,-80.502,-62.733,-74.86,-77.166,-77.905,-74.861,-68.864,-74.147
-42.671,-42.463,-31.961,-41.356,-39.402,-32.07,25.311,-42.911,-37.529,-40.574,-37.578,-42.664,-38.182
-72.735,-70.131,-36.483,-73.177,-51.78,-35.499,-36.487,-67.76,-60.054,-60.767,-57.724,-49.428,-48.735
-91.117,-87.79,-81.719,-90.832,-77.934,-79.079,-77.552,-89.305,-96.868,-90.719,-87.677,-74.889,-74.889
-87.072,-83.709,-84.019,-86.756,-66.523,-68.019,-63.157,-91.469,-81.969,-79.408,-76.363,-63.977,-63.479
-64.574,-67.192,-43.794,-70.237,-46.783,-43.227,-47.785,-52.918,-44.994,-44.634,-43.463,-43.739,-43.739
-70.473,-67.401,-70.739,-70.445,-71.896,-70.859,-74.37,-67.735,-67.749,-70.78,-67.747,-68.851,-68.851
-40.379,-37.358,-42.895,-40.274,-45.438,-42.724,-48.051,-37.359,-37.167,-40.27,-37.224,-42.394,-42.393
-41.75,-44.161,-33.666,-39.996,-29.213,-32.213,-31.933,-35.556,-32.188,-30.356,-28.993,-27.006,-31.607
-73.785,-72.78,-56.275,-71.874,-67.084,-46.757,-45.447,-70.219,-68.936,-71.879,-68.834,-64.04,-64.039
-92.477,-89.317,-86.051,-92.359,-81.253,-85.964,-83.861,-90.336,-91.266,-93.387,-90.339,-78.209,-78.209
-97.238,-92.54,-46.452,-95.59,-61.764,-47.404,-40.972,-94.092,-91.429,-93.868,-90.583,-59.182,-58.719
-61.246,-52.579,-42.327,-55.624,-46.389,-41.911,-44.162,-65.84,-68.052,-56.284,-55.81,-43.344,-43.329
-104.102,-100.688,-106.199,-103.735,-85.402,-107.386,-81.812,-102.427,-110.748,-105.472,-102.426,-82.357,-82.357
-111.07,-105.688,-77.456,-108.73,-80.354,-77.8,-79.94,-109.06,-115.805,-111.341,-108.32,-77.309,-81.583
-54.409,-50.589,-52.433,-53.634,-52.864,-48.867,-52.002,-54.013,-71.981,-56.573,-53.528,-49.82,-50.087
-100.668,-93.104,-55.59,-96.153,-67.022,-54.957,-58.024,-101.956,-106.993,-102.503,-99.451,-63.978,-63.978
-86.306,-69.544,-36.156,-72.589,-45.178,-36.588,134.014,-59.722,-59.722,-62.766,-68.984,-41.066,-23.427
-58.984,-57.168,-46.64,-60.205,-51.091,-46.259,-44.139,-55.185,-53.753,-56.236,-53.073,-51.729,-48.426
-51.453,-49.383,-20.94,-51.785,-50.678,-20.349,-15.162,-50.436,-44.385,-47.45,-44.403,-47.683,-48.243
-60.896,-57.612,-44.97,-60.648,-59.104,-44.582,-47.693,-58.815,-58.869,-61.898,-58.852,-56.06,-61.111
-120.745,-117.702,-104.274,-120.747,-86.439,-107.441,-88.796,-118.257,-116.614,-118.619,-115.575,-83.395,-89.607
-119.683,-116.571,-110.645,-119.616,-89.103,-116.635,-91.461,-116.968,-117.885,-120.012,-116.991,-86.059,-86.059
-84.127,-80.633,-75.359,-83.676,-77.127,-75.286,-78.007,-81.692,-90.52,-84.735,-81.692,-74.082,-73.881
-85.093,-82.162,-78.088,-85.206,-79.434,-79.126,-81.072,-82.159,-81.525,-84.562,-81.529,-76.389,-76.389
-82.679,-83.435,-59.58,-84.545,-66.23,-59.073,-61.332,-81.073,-76.463,-79.537,-76.494,-65.494,-63.186
-109.099,-105.782,-78.034,-108.848,-91.323,-77.983,-79.446,-107.867,-104.882,-107.888,-105.12,-88.278,-88.278
-95.047,-92.764,-46.549,-95.646,-82.674,-46.188,-49.418,-92.57,-88.875,-91.922,-88.874,-79.629,-84.098
-81.581,-77.454,-66.296,-80.499,-73.528,-67.877,-70.937,-79.884,-82.952,-82.636,-79.358,-70.482,-78.236
-39.181,-37.312,-29.758,-38.403,-41.567,-29.373,-29.511,-37.372,-34.72,-37.765,-34.709,-39.326,-38.523
-40.003,-36.836,-40.957,-39.881,-40.419,-40.311,-42.886,-37.324,-39.037,-40.302,-37.324,-37.408,-37.849
-91.105,-86.971,-86.16,-90.015,-76.76,-86.819,-74.201,-88.787,-93.91,-90.782,-87.736,-73.716,-73.716
-88.356,-85.331,-91.377,-88.374,-82.878,-91.832,-84.754,-85.699,-95.906,-88.747,-85.734,-79.834,-79.834
-55.194,-60.308,-44.302,-58.413,-42.963,-43.084,-45.943,-50.966,-48.757,-48.261,-46.762,-40.024,-39.919
-99.701,-96.738,-101.356,-99.776,-86.003,-103.246,-88.853,-98.333,-104.129,-101.376,-98.35,-82.958,-82.958
-100.342,-98.617,-95.322,-100.536,-74.153,-96.111,-76.059,-97.246,-92.092,-94.069,-91.029,-71.109,-71.109
-88.316,-89.021,-36.808,-92.069,-75.551,-37.086,-30.7,-88.49,-88.376,-90.888,-87.842,-72.507,-88.501
-50.498,-47.578,-53.466,-50.611,-51.29,-52.023,-51.758,-49.025,-46.443,-49.488,-46.449,-51.251,-48.245
-67.293,-64.374,-17.926,-63.163,-47.621,-17.425,-8.436,-61.243,-53.53,-55.245,-52.403,-44.576,-54.494
-70.661,-70.788,-72.499,-70.499,-47.402,-63.317,-50.03,-66.372,-61.749,-60.295,-58.318,-44.608,-62.025
-59.218,-58.563,-42.252,-58.175,-58.666,-42.189,-41.144,-60.27,-52.622,-55.666,-52.621,-55.621,-57.582
-79.257,-77.002,-65.656,-80.047,-65.62,-66.249,-67.504,-76.833,-76.945,-76.308,-73.264,-62.576,-76.313
-78.775,-72.44,-46.136,-75.482,-62.413,-45.53,-48.096,-79.776,-82.329,-82.82,-79.828,-59.37,-59.369
-117.068,-114.005,-118.292,-117.05,-86.021,-121.721,-89.034,-115.727,-115.691,-118.772,-115.727,-82.976,-82.967
-119.681,-126.014,-61.849,-127.593,-100.902,-66.561,-67.839,-125.592,-123.493,-126.538,-124.324,-97.858,-98.092
-32.064,-29.246,-32.142,-32.29,-29.177,-24.959,-24.468,-29.025,-27.874,-29.336,-26.289,-29.488,-26.475
-92.307,-88.868,-76.362,-91.91,-71.588,-90.773,-73.425,-100.169,-100.139,-103.202,-100.177,-68.543,-68.543
-49.145,-37.468,-13.446,-40.514,-22.83,-13.502,-16.63,-48.244,-29.364,-22.735,-22.3,-21.6,-21.767
-77.829,-75.492,-61.859,-78.515,-68.492,-62.005,-65.037,-74.43,-73.641,-76.757,-73.717,-65.446,-64.186
-85.264,-82.22,-84.653,-85.266,-81.267,-84.565,-83.453,-82.394,-82.396,-85.441,-82.422,-78.222,-78.222
-80.854,-77.768,-83.717,-80.801,-73.917,-82.305,-70.563,-78.488,-76.21,-79.255,-76.212,-70.873,-70.872
-56.725,-50.934,-43.844,-53.979,-34.532,-38.659,-35.98,-58.399,-43.397,-35.671,-33.141,-32.189,-41.481
-74.382,-72.564,-29.21,-75.61,-43.096,-29.126,21.356,-56.24,-48.774,-51.459,-47.139,-41.312,-37.456
-60.983,-58.056,-54.02,-61.081,-53.474,-54.193,-56.496,-58.788,-58.267,-60.711,-57.809,-50.43,-50.43
-58.827,-77.743,-25.336,-66.567,-30.99,-28.464,-31.447,-47.703,-37.336,-35.146,-34.578,-27.945,-27.945
-82.189,-76.494,-51.783,-79.538,-64.957,-53.325,-48.622,-81.927,-84.59,-84.943,-81.386,-61.913,-59.725
-90.487,-88.46,-87.422,-90.189,-80.74,-78.552,-67.396,-88.109,-85.282,-88.333,-85.285,-77.696,-77.695
-76.29,-73.495,-55.456,-76.505,-58.753,-55.102,-57.52,-75.592,-67.336,-68.287,-65.242,-56.226,-55.709
-10.726,-7.553,-13.179,-10.598,-12.056,-13.01,-14.233,-7.445,-7.462,-10.518,-7.496,-9.639,-9.468
